step,q_j1,q_j7,flow_ew,flow_ns,ambulance_active,co2_j1,co2_j7,cars_j1,cars_j7,tot_car,tot_amb,tot_bus,tot_ped,tot_truck,tot_triggers
2290,1,0,0,0,0,10428974.954586796,10882006.95447008,398,418,816,8,224,81,94,10
2300,0,1,0,0,0,10433537.954586796,10885048.95447008,401,420,821,8,224,81,94,10
2310,0,0,2,0,0,10436579.954586796,10886569.95447008,403,421,824,8,224,81,94,10
2320,2,0,3,0,0,10454150.98484031,10890865.95447008,404,423,828,8,225,81,94,10
2330,3,2,3,0,0,10498923.276570883,10925349.849363085,405,423,830,8,225,81,94,10
2340,4,2,0,0,0,10559335.981520519,10972872.849363085,406,426,836,8,226,81,94,10
2350,5,6,0,0,0,10642082.8275573,11049548.052054126,407,428,837,8,228,82,96,10
2360,2,9,0,0,0,10739672.497650882,11179755.712037154,411,431,843,8,229,83,97,10
2370,1,0,1,3,0,10750838.611168455,11229227.813006429,412,432,847,8,230,83,97,10
2380,0,0,1,0,0,10760794.611112578,11230748.813006429,416,433,852,8,230,84,98,10
2390,1,0,0,0,0,10763836.611112578,11233790.813006429,418,435,857,8,230,85,98,10
2400,2,0,0,0,0,10770335.611112578,11235726.813006429,422,436,862,8,230,86,100,10
2410,3,1,2,0,0,10782646.125098288,11241727.677104874,423,438,866,8,230,86,100,10
2420,6,3,2,0,0,10860701.83818519,11270298.308357328,427,439,871,8,231,86,101,10
2430,8,3,0,0,1,10994047.374222353,11318697.934964493,428,440,873,9,233,86,101,10
2440,10,4,1,0,1,11166839.531488651,11373681.99843112,430,441,876,9,234,86,101,10
2450,4,5,0,0,0,11359864.082044808,11462109.5906551,431,441,878,9,235,86,101,10
2460,4,1,0,1,0,11418662.711764177,11490611.6288832,433,443,882,9,235,87,102,10
2470,3,0,1,1,0,11454732.710964216,11495172.349658502,437,445,885,9,238,87,104,10
2480,1,0,2,0,0,11480305.868900828,11498214.349658502,441,447,892,9,240,88,105,10
2490,1,0,0,0,0,11504237.85421423,11508742.349658502,443,452,895,9,243,88,107,10
2500,3,2,2,0,0,11556064.254559161,11516310.193160936,446,454,900,9,244,88,107,10
2510,8,4,0,0,0,11675830.287648741,11577912.43421377,449,455,902,9,247,88,107,10
2520,9,7,0,0,0,11843235.686906036,11676073.307295693,449,458,903,9,249,88,107,10
2530,9,8,0,0,0,12017745.690127822,11823664.558993084,449,459,905,9,249,88,107,10
2540,2,9,0,0,0,12170508.771691615,12010189.195263695,449,459,907,9,250,88,108,10
2550,0,1,1,1,0,12178261.771691615,12072460.309938367,453,462,914,9,252,88,110,10
2560,0,0,3,0,0,12179782.771691615,12077023.309938367,453,465,917,9,252,88,110,10
2570,0,0,0,0,0,12182557.771691615,12077023.309938367,454,465,920,9,253,89,110,10
2580,0,0,0,0,0,12185599.771691615,12080065.309938367,456,467,925,9,253,89,110,10
2590,0,1,2,0,0,12187120.771691615,12092770.99695715,457,471,930,9,254,89,111,10
2600,2,5,5,0,0,12201914.613507776,12155638.421369383,461,473,939,9,256,91,111,10
2610,7,7,0,0,0,12270139.146041365,12272305.797053093,463,475,940,9,258,92,112,10
2620,7,10,0,0,0,12396528.957858223,12434763.573054094,465,476,943,9,260,92,112,10
2630,3,12,0,0,0,12549249.443115413,12628972.113677181,468,478,949,9,260,92,113,10
2640,0,2,1,4,0,12556113.685332447,12707231.598181007,470,480,955,9,261,92,113,10
2650,0,0,1,3,0,12557634.685332447,12717580.473606713,471,483,960,9,261,93,114,10
2660,0,0,0,1,0,12560676.685332447,12722558.473606713,473,486,966,9,261,94,115,10
2670,0,0,0,0,0,12562197.685332447,12729414.759749873,474,490,970,9,262,95,116,10
2680,1,0,2,0,0,12568139.374705464,12730935.759749873,474,491,972,9,262,95,116,10
2690,2,2,2,0,0,12588053.082568314,12741236.17824701,476,493,974,9,264,96,117,10
2700,3,3,1,0,0,12622047.317444073,12787287.432182174,479,493,975,9,266,97,117,10
2710,7,3,0,0,0,12737121.789692618,12845456.685174026,480,493,976,9,268,98,117,10
2720,1,3,0,0,0,12855194.89180688,12906668.685174026,481,495,980,9,269,98,117,10
2730,0,0,1,1,0,12872855.482565455,12925816.128687361,485,497,986,9,271,98,117,10
2740,1,0,0,0,0,12881447.482565455,12927337.128687361,489,498,989,9,273,98,117,10
2750,1,0,1,0,0,12911353.315722376,12928858.128687361,492,499,994,9,274,98,117,10
2760,2,0,2,1,1,12939001.450605791,12933421.128687361,494,502,1000,10,274,99,117,11
2770,7,0,1,0,1,13013432.668772763,12934942.128687361,499,503,1005,10,276,99,117,12
2780,10,1,1,0,1,13145923.082622964,12945398.619343154,502,504,1009,10,276,99,118,12
2790,15,2,0,1,1,13383249.859104836,12968211.481533846,505,505,1012,10,277,100,119,12
2800,3,4,3,0,1,13621252.016910985,13015894.462069988,505,507,1016,10,277,101,119,12
2810,4,0,0,0,0,13653517.632577566,13070557.50397937,510,507,1022,10,277,101,119,12
2820,0,0,0,1,0,13691951.911936076,13074014.50397937,514,509,1027,10,277,101,121,12
2830,0,0,0,0,0,13696514.911936076,13075535.50397937,517,510,1031,10,277,102,121,12
2840,0,0,1,0,0,13696514.911936076,13078577.50397937,517,512,1033,10,277,103,121,12
2850,0,0,1,0,0,13699289.911936076,13078577.50397937,518,512,1034,10,278,103,121,12
2860,1,2,3,0,0,13720861.499921437,13086342.878763054,522,516,1041,10,279,103,123,12
2870,5,3,0,0,0,13812721.637314366,13130967.450442487,523,517,1044,10,279,103,124,12
2880,6,6,0,0,0,13927056.82013609,13213961.421484897,523,519,1046,10,280,104,125,12
2890,0,7,0,0,0,14023300.82013609,13322896.023652589,526,519,1053,10,281,104,125,12
2900,0,0,0,0,0,14024821.82013609,13428762.023652589,527,520,1056,10,282,104,127,12
2910,0,1,1,1,0,14027596.82013609,13432219.023652589,528,522,1057,10,284,104,128,12
2920,0,0,1,0,0,14034934.82013609,13432219.023652589,532,522,1061,10,285,106,128,12
2930,0,0,0,1,0,14034934.82013609,13438036.023652589,532,525,1063,10,286,107,129,12
2940,0,2,2,1,0,14036455.82013609,13448149.023652589,533,530,1069,10,288,107,129,12
2950,2,4,3,0,0,14052603.425193327,13472845.273005215,537,532,1078,10,289,109,130,12
